Canadian Brass Parking Passes|1||0|0|||0|0||||
Yefim Bronfman|1||0|0|||0|5| $40 |4|10| $528 
The Exterminating Angel New York|8||0|0||1,147|152|0||||
Rockford Symphony Orchestra|1||0|0||24|24|0||||
Aida Washington DC Parking Passes|9||0|0||450|50|0||||
China National Symphony Orchestra|1||0|0||96|96|4| $36 |2|4| $146 
The BT Christmas Concert|1||0|0||16|16|0||||
King College Choir|1||0|0||6|6|0||||
Carols by Candlelight|6||0|0||51|20|0||||
Messiah|1||0|0||27|27|2| $41 |3|6| $254 
Christmas Carol Singalong|1||0|0||17|17|0||||
Classic Carols|1||0|0||4|4|0||||
La Boheme London|1||0|0||2|2|0||||
Atlanta Symphony Orchestra|5||0|0||31|10|62| $76 |6|422| $31,856 
Atlanta Symphony Orchestra Parking Passes|1||0|0|||0|1| $13 |4|4| $67 
Richard Abel|1||0|0|||0|0||||
Yefim Bronfman Parking Passes|1||0|0||12|12|0||||
Chicago Symphony Orchestra Parking Passes|1||0|0||225|225|18||0||
Danish String Quartet|2||0|0||35|35|0||||
Don Giovanni Dallas|6||0|0||63|11|0||||
Carmen Philadelphia|5||0|0|||0|0||||
Carmen Atlanta|4||0|0|||0|3||0||
Samson and Delilah Dallas|5||0|0||55|11|0||||
Das Rheingold Phoenix|3||0|0|||0|0||||
Pirates of Penzance Palm Desert|1||0|0||26|26|0||||
Russell Watson|1||0|0||8|8|2| $57 |3|6| $358 
Anne-Sophie Mutter|3||0|0||38|19|8| $148 |2|28| $3,928 
City of Birmingham Symphony Orchestra|1||0|0||2|2|0||||
Orchestre Metropolitain|1||0|0||3|3|0||||
Diana Damrau|1||0|0||8|8|1| $99 |2|2| $198 
Daniel Hope|1||0|0||6|6|1||0||
NDR Elbphilharmonie Orchester|8||0|0||16|4|0||||
Cincinnati Pops|4||0|0|||0|9| $30 |5|46| $1,210 
Lang Lang|4||0|0||113|48|62| $134 |5|844| $141,563 
Cruzar la Cara de la Luna|1||0|0||12|12|0||||
Academy of St Martin in the Fields|4||0|0||71|35|2| $115 |18|18| $2,028 
Boston Holiday Pops|3||0|0||106|47|93| $107 |14|2,657| $395,329 
Salute to Vienna|1||0|0|||0|13| $92 |3|42| $5,270 
Susannah Nashville|3||0|0||132|44|0||||
Diamanda Galas|3||0|0||6|3|9| $85 |15|173| $15,360 
Pittsburgh Symphony Orchestra|10||0|0||158|52|18| $49 |2|65| $3,728 
Yuval Sharon|1||0|0||1|1|0||||
Ten Tenors|1||0|0||6|6|42| $71 |4|84| $7,899 
William Kentridge|2||0|0||6|6|1| $356 |4|4| $1,426 
Israel Philharmonic Orchestra|5||0|0||122|20|2| $90 |2|2| $180 
Phoenix Symphony|4||0|0||11|11|18| $61 |2|61| $4,668 
Detroit Symphony Orchestra|7||0|0|||0|12| $47 |4|177| $9,626 
New York Pops|6||0|0||151|22|38| $70 |22|1,226| $117,172 
San Antonio Symphony|11||0|0||668|52|66| $58 |4|274| $16,221 
Sphinx Virtuosi|7||0|0||65|32|0||||
Charlotte Symphony|40||0|0||128|4|4| $52 |2|2| $104 
San Diego Symphony|18||0|0||884|52|11| $60 |2|45| $5,748 
Orfeo ed Euridice New York|1||0|0||6|6|0||||
The Return of Ulysses New York|1||0|0||6|6|1| $231 |4|4| $926 
L'incoronazione di Poppea New York|1||0|0||6|6|0||||
Utah Symphony|4||0|0||65|22|2| $88 |3|6| $562 
Cosi Fan Tutte Seattle|7||0|0|||0|0||||
Aida Seattle|8||0|0|||0|0||||
Grand Rapids Symphony Orchestra|56||0|0||317|15|17| $75 |4|23| $2,342 
Mariinsky Orchestra|3||0|0||51|15|5| $82 |4|10| $1,198 
American Youth Symphony and Los Angeles Childrens Chorus|1||0|0|||0|1| $40 |4|4| $160 
Calder Quartet|1||0|0||10|10|0||||
Europa Galante|$1 ||0|0||10|10|$2 | $101 |3|6| $664 
Indianapolis Symphony Orchestra|2||0|0|||0|10| $78 |2|16| $1,492 
Kansas City Symphony|3||0|0||10|10|55| $88 |4|143| $16,311 
Oregon Symphony|1||0|0|||0|5| $69 |4|20| $1,428 
Minnesota Orchestra|1||0|0|||0|11| $42 |4|44| $2,116 
Joshua Bell|3||0|0||44|22|90| $93 |6|608| $55,418 
Andras Schiff|3||0|0||64|24|11| $75 |2|35| $3,041 
The Colburn Orchestra|1||0|0||8|8|4||0||
Armenian National Philharmonic Orchestra|2||0|0|||0|2| $137 |2|4| $548 
Romeo and Juliet Austin|3||0|0||35|11|0||||
Crossing Brooklyn|4||0|0||8|4|0||||
Holiday Pops|14||0|0||188|28|7| $64 |2|8| $506 
Vienna Philharmonic Orchestra|4||0|0||24|8|16| $149 |6|154| $29,944 
Boston Symphony Orchestra|2||0|0||40|20|102| $79 |2|417| $41,372 
Naples Philharmonic Orchestra|7||0|0||8|8|7| $165 |2|2| $330 
Silk Road Ensemble|1||0|0||8|8|4| $88 |5|60| $5,987 
Joyce DiDonato|1||0|0|||0|3| $64 |2|4| $256 
Orchestra Moderne NYC|1||0|0||28|28|0||||
Shen Yun Symphony Orchestra|1||0|0||4|4|0||||
Orchestre Symphonique de Montreal|1||0|0||4|4|2| $105 |7|15| $1,875 
Orpheus Chamber Orchestra|2||0|0||8|4|3| $175 |2|6| $884 
China National Centre for the Performing Arts Orchestra|1||0|0||28|28|0||||
Marc Andre Hamelin|2||0|0||22|22|3||0||
The Orchestra Now|2||0|0||16|16|0||||
Oratorio Society of New York|2||0|0||4|4|0||||
Japan Kocarina Ensemble|1||0|0|||0|0||||
Canterbury Choral Society|1||0|0|||0|0||||
New York Youth Symphony|1||0|0||4|4|0||||
Distinguished Concerts Orchestra|2||0|0||4|4|2| $32 |3|6| $180 
Distinguished Concerts Singers International|1||0|0||4|4|0||||
Orchestra of St Lukes|3||0|0||39|10|2||0||
Boston Pops Orchestra|1||0|0|||0|89| $85 |4|1,235| $134,235 
Jamie Barton|1||0|0||4|4|0||||
New York String Orchestra|2||0|0|||0|4| $96 |9|42| $3,874 
Katya Grineva|1||0|0|||0|1| $197 |3|3| $591 
Royal Concertgebouw Orchestra Amsterdam|3||0|0||28|8|1| $36 |3|3| $132 
Denis Matsuev|1||0|0||22|22|5| $95 |5|49| $5,875 
Cleveland Orchestra|2||0|0||21|10|24| $77 |2|76| $7,673 
Stephen Hough|1||0|0||24|24|2| $10 |3|6| $54 
Mitsuko Uchida|2||0|0||51|25|5| $47 |8|32| $2,844 
Louisiana Philharmonic Orchestra|1||0|0||18|18|1||0||
Pierre Laurent Aimard|1||0|0||18|18|2||0||
The English Concert|1||0|0||11|11|3| $70 |2|7| $743 
Juilliard Orchestra|1||0|0|||0|0||||
National Youth Choir|1||0|0|||0|0||||
Classical Vocal|$2 ||0|0|||0|$0 ||||
Candide New York|$1 ||0|0|||0|$0 ||||
Mark Padmore|$1 ||0|0||4|4|$2 ||0||
Pacific Symphony Orchestra|1||0|0||11|11|36| $52 |8|312| $17,182 
Evgeny Kissin|2||0|0||84|42|18| $147 |20|398| $81,819 
Maurizio Pollini|$1 ||0|0||19|19|$8 | $100 |6|41| $4,919 
Bavarian Radio Symphony Orchestra|2||0|0||16|8|1| $79 |4|4| $318 
New York Choral Society|1||0|0|||0|1| $223 |2|2| $446 
Emanuel Ax|3||0|0||61|21|19| $67 |5|211| $30,077 
The Met Orchestra|$3 ||0|0||52|16|$15 | $110 |6|152| $35,070 
The Daughter of the Regiment Atlanta|4||0|0|||0|0||||
Kronos Quartet|$1 ||0|0||8|8|$6 | $97 |3|20| $2,344 
The Atlanta Opera|6||0|0|||0|2| $85 |4|8| $686 
Washington National Opera Washington|16||0|0||87|4|28| $104 |4|140| $17,999 
Bayerisches Staatsorchester|1||0|0||20|20|0||||
The Magic Flute|2||0|0|||0|0||||
Omaha Symphony|1||0|0||2|2|21| $34 |2|27| $946 
Anchorage Symphony|$7 ||0|0|||0|$0 ||||
Bayerische Staatsoper|1||0|0||18|18|0||||
Candide Anchorage|$2 ||0|0|||0|$0 ||||
Thomas Hengelbrock|4||0|0||4|4|0||||
Krzysztof Urbanski|2||0|0|||0|0||||
SWR Big Band|1||0|0|||0|0||||
Magdalena Kozena|1||0|0||4|4|1| $101 |4|4| $404 
Roomful of Teeth|$2 ||0|0||17|8|$1 | $150 |2|2| $300 
Prague Philharmonia|1||0|0|||0|2| $102 |3|6| $620 
Albrecht Mayer|1||0|0|||0|0||||
Deutsches Symphonie-Orchester Berlin|1||0|0|||0|0||||
Cherish the Ladies|2||0|0|||0|5| $70 |2|2| $140 
Symphonieorchester des Bayerischen Rundfunks|1||0|0||4|4|0||||
Vienna Boys Choir|1||0|0||12|12|27| $86 |6|107| $9,958 
Renee Fleming Parking Passes|1||0|0||130|130|0||||
San Francisco Symphony Parking Passes|2||0|0||100|50|11| $13 |10|45| $750 
New Jersey Symphony Parking Passes|1||0|0|||0|0||||
Roanoke Symphony Orchestra|3||0|0||76|38|0||||
Los Angeles Chamber Orchestra|1||0|0||2|2|2| $175 |2|2| $350 
Arizona Opera|2||0|0||2|2|0||||
Fort Worth Symphony Orchestra|3||0|0|||0|5| $38 |2|14| $604 
The Florida Orchestra|1||0|0|||0|2||0||
Marriage of Figaro London|6||0|0|||0|0||||
La Boheme Denver|5||0|0||118|21|0||||
San Antonio Symphony Parking Passes|11||0|0|||0|0||||
Les Vepres siciliennes|6||0|0||24|3|0||||
Paul Lewis|1||0|0||10|10|2| $89 |2|4| $358 
Robert Mealy|1||0|0||2|2|0||||
Roanoke Symphony Orchestra Parking Passes|3||0|0|||0|0||||
Van Cliburn International Piano Competition|1||0|0|||0|3| $34 |2|6| $198 
Nashville Symphony Parking Passes|1||0|0|||0|0||||
Bach Collegium Japan|1||0|0||4|4|0||||
The Daughter of the Regiment Atlanta Parking Passes|4||0|0|||0|0||||
Apollos Fire|1||0|0||4|4|2| $60 |2|2| $120 
Michail Lifits|1||0|0||2|2|0||||
Carmen Atlanta Parking Passes|4||0|0|||0|0||||
The Atlanta Opera Parking Passes|6||0|0|||0|0||||
Amadeus in Concert|$1 ||0|0||2|2|$0 ||||
Too Hot to Handel Parking Passes|1||0|0|||0|0||||
Tosca Detroit|4||0|0||2|2|0||||
Tosca Detroit Parking Passes|4||0|0|||0|0||||
The Summer King Detroit|4||0|0||2|2|0||||
Rigoletto Detroit|$4 ||0|0||2|2|$0 ||||
Marriage of Figaro Detroit|4||0|0||2|2|0||||
Grand Rapids Symphony Orchestra Parking Passes|49||0|0|||0|0||||
The Barber of Seville Seattle|$8 ||0|0|||0|$0 ||||
Beatrice and Benedict Seattle|4||0|0|||0|0||||
New York City Ballet|112| $146 |3|9|105|2,799|18|513| $110 |7|7,621| $1,227,211 
So You Think You Can Dance Tour|31| $113 |3|11|100|3,524|94|209| $101 |49|16,322| $1,840,944 
The Nutcracker New York|47| $239 |6|0|35|9,079|204|142| $150 |51|8,609| $1,714,413 
Thunder From Down Under Tour|9| $58 |16|0|33|89|23|28| $62 |4|137| $7,550 
Thunder From Down Under Las Vegas|165| $71 |5|0|19|1,473|10|361| $89 |4|309| $40,052 
Moscow Ballets Great Russian Nutcracker Detroit|3| $144 |7|0|15|900|295|8| $111 |91|758| $90,460 
Houston Ballet|83| $71 |2|0|11|5,234|25|140| $118 |3|505| $64,211 
Russian Ballet|41| $106 |2|0|11|617|28|10| $95 |6|34| $4,100 
The Nutcracker Boston|42| $250 |2|0|9|1,337|34|123| $95 |17|2,253| $248,516 
The Nutcracker Portland|19| $68 |4|0|9|2,138|114|52| $57 |17|989| $66,375 
55|$168 | $2 |0|6|238|5|136|$60 | $8 |1,425|145,396|
Moscow Ballets Great Russian Nutcracker Minneapolis|2| $67 |3|0|6|230|115|9| $80 |9|128| $11,186 
Moscow Ballets Great Russian Nutcracker Seattle|1| $115 |6|0|6|189|189|0||||
The Nutcracker Washington D.C.|30| $120 |3|0|6|4,039|130|111| $81 |36|4,452| $413,565 
Moscow Ballets Great Russian Nutcracker Kansas City|1| $45 |5|0|5|87|87|0||||
American Ballet Theatre|13| $130 |5|0|5|1,057|90|371| $120 |6|3,597| $568,121 
Stomp Wilkes Barre|2| $63 |2|0|4|100|50|0||||
Magic Mike Las Vegas|320| $173 |2|0|4|3,713|25|113| $139 |4|701| $111,737 
Zombie Burlesque|204| $50 |2|0|4|4,980|48|815| $60 |2|209| $11,820 
The Nutcracker Philadelphia|26| $90 |4|0|4|3,280|132|95| $88 |19|1,993| $195,261 
The Joffrey Ballet|30| $217 |2|0|4|1,536|52|242| $96 |7|3,328| $370,134 
Stomp Detroit|3| $96 |4|0|4|693|230|3| $79 |59|59| $5,082 
The Nutcracker Fort Worth|19| $303 |2|0|2|2,004|107|39| $100 |10|370| $39,677 
The Nutcracker Dallas|8| $110 |2|0|2|1,033|129|16| $90 |8|164| $16,957 
The Nutcracker San Francisco|30| $190 |2|0|2|1,266|46|94| $92 |19|2,215| $271,600 
Riverdance Fort Lauderdale|5| $105 |2|0|2|593|116|0||||
Moscow Ballets Great Russian Nutcracker Indianapolis|1| $99 |2|0|2|106|106|1| $56 |17|17| $1,056 
Moscow Ballets Great Russian Nutcracker Denver|3| $89 |2|0|2|146|54|5| $62 |8|33| $2,435 
Shaping Sound|27| $130 |2|0|2|681|21|52| $80 |4|302| $25,646 
Moscow Ballets Great Russian Nutcracker Spokane|1| $89 |2|0|2|53|53|0||||
Riverdance Orlando|5| $165 |2|0|2|229|49|0||||
iLuminate|3| $125 |2|0|2|67|33|330| $59 |2|237| $19,236 
Thunder From Down Under Prior Lake|2| $69 |2|0|2|65|32|0||||
Riverdance Rosemont|3| $87 |2|0|2|135|48|0||||
The Nutcracker Costa Mesa|13| $112 |2|0|2|1,049|80|1||0||
Ulalena|58||0|0|||0|0||||
Aussie Heat Las Vegas|287||0|0||1,072|16|0||||
Crazy Girls|99||0|0||2,900|30|403| $98 |2|13| $1,443 
Jabbawockeez|141||0|0||3,300|24|639| $173 |4|592| $113,087 
International Ballroom Dancing Championship|1||0|0||18|18|1| $80 |5|5| $408 
X Country|100||0|0||1,584|16|1| $6 |1|1| $6 
